THURSDAY ,,,,FRIDAY ,
Event,Time,Where,,Event,Time
Yoga,8:00-9:00,Needs a quiet space for 20 people  to be able to lay out yoga mats,,Yoga,8:00-9:00
Geology  and Geography ,9:00-Noon,Auditorium,,BOG Meeting,9:00-Noon
Spelean History ,9:00-Noon,205,,Video Salon Viewing,9:00 - Noon
Planned Giving,9-Noon,112,,Fine Art Salon Critique,9:00-10:00
State Cave Surveys,9-Noon,102,,Cartographic Salon Critique,10:00-Noon
Vertical Section session,9-Noon,254,,Photo Salon Critique,10:00-Noon
Paleontology,,,,Print Salon Critique,10:00-Noon
,,,,Cave Ballad Salon Critique,10:00-Noon
,,,,Cave Writers  Workshop,9:00-Noon
,,,,NSF Trustees Meeting (open),9:00-Noon
,,,,,
Luminary Speaker   Gordon Smith    ,12:30-1:30,Auditorium,,Survey & Cartography Session ,Noon-1:00
Geology and Geography meeting,1:30-2:30,Auditorium,,Arts and Letters Lunch,Noon-1:00
Vetical Section Lunch/Business Meeting,Noon-1:00,254,,The Caving Podcast Live: Jason Balensky,noon-1:00
NCKMS Steering Committee,Noon-1:00,110,,,
Archeology,9-Noon,205,,,
Book signing: Gary Roberson,11:30-1:00,Vendors Area,,,
,,,,,
,,,,,
Geology and Geography,2:00-5:00,Auditorium,,Survey & Cartography Session,1:00-5:00
Cave Diving Exploration,1:00-5:00,205,,Cave Writers  Workshop,1:00-4:00
"Vertical Section Annual meeting, Awards",1:00-5:00,254,,BOG Meeting,1-5:00pm
Convention Debrief,2:00-5:00,112,,Collegiate Grotto Challenges and Solutions,1:30-3:00pm
NSS Preserves & Acquisitions,2:00-5:00,110,,NSF Trustees Meeting (closed),1:00-5:00pm
Cave Photography Session,2:00-5:00,154,,,
NSS Awards Committee,2:00-3:00 open  4:00-5:00 closed,104,,,
Sketching Contest Results,3:00-4:00,Vendors area catwalk,,,
,,,,,
,,,,,
,,,,,
Photo Salon Short Show/Salon Awards,5:30-7:00,Auditorium,,NSS Awards Banquet,7:00 - 9:30
Full Photo Salon/Salon Awards,7:30-10:00,Auditorium,,Campground Party                      ,9:30-Midnight
Caver Story Telling Contest,10:00- Midnight,Where in campground?,,,