THURSDAY ,,,,,THURSDAY ,,,
Event,Time,Where,,Time,Event,Tables,Chairs,
Yoga,8:00-9:00,Needs a quiet space for 20 people  to be able to lay out yoga mats,,am,Yoga,none,,Needs a quiet space for 20 people  to be able to lay out yoga mats
Geology  and Geography ,9:00-Noon,Auditorium-none needed,,All day,Geology  and Geography ,Auditorium-none needed,,
Spelean History ,9:00-Noon,205,,am,Spelean History ,1,75,
Planned Giving,9-Noon,112,,am,Planned Giving,1,20,
State Cave Surveys,9-Noon,102,,am,State Cave Surveys,1,30,
Vertical Section session,9-Noon,254,,am,Vertical Section session,1,50,
Paleontology,,,,am,Paleontology,1,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,time,Event,Tables,Chairs,
Luminary Speaker   Gordon Smith    ,12:30-1:30,Auditorium,,Lunchtime,Luminary Speaker   Gordon Smith    ,Auditorium - just podium,,
Geology and Geography meeting,1:30-2:30,Auditorium,,no lunch,Geology and Geography meeting,Auditorium,,
Vetical Section Lunch/Business Meeting,Noon-1:00,254,,lunchtime,Vetical Section Lunch/Business Meeting,254,,
NCKMS Steering Committee,Noon-1:00,110,,no lunch,NCKMS Steering Committee,110,,
Archeology,9-Noon,205,,lunchtime,Book signing: Gary Roberson,Vendors Area,,
Book signing: Gary Roberson,11:30-1:00,Vendors Area,,,,,,
,,,,,,,,
,,,,time,,,,
Geology and Geography,2:00-5:00,Auditorium,,,Geology and Geography,Auditorium,,
Cave Diving Exploration,1:00-5:00,205,,,Cave Diving Exploration,205,,
"Vertical Section Annual meeting, Awards",1:00-5:00,254,,,"Vertical Section Annual meeting, Awards",254,,
Convention Debrief,2:00-5:00,112,,,Convention Debrief,112,,
NSS Preserves & Acquisitions,2:00-5:00,110,,,NSS Preserves & Acquisitions,110,,
Cave Photography Session,2:00-5:00,154,,,Cave Photography Session,154,,
NSS Awards Committee,2:00-3:00 open  4:00-5:00 closed,104,,,NSS Awards Committee,104,,
Sketching Contest Results,3:00-4:00,Vendors area catwalk,,,Sketching Contest Results,Vendors area catwalk,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Photo Salon Short Show/Salon Awards,5:30-7:00,Auditorium,,,Photo Salon Short Show/Salon Awards,Auditorium,,
Full Photo Salon/Salon Awards,7:30-10:00,Auditorium,,,Full Photo Salon/Salon Awards,Auditorium,,
Caver Story Telling Contest,10:00- Midnight,Where in campground?,,,Caver Story Telling Contest,Where in campground?,,