TUESDAY,,,,time,Event,Tables,Chairs,
Event,Time,Where,,,,,,
Yoga,8:00-9:00,Needs a quiet space for 20 people  to be able to lay out yoga mats,,am,Yoga,Need a quiet space for 20 people to be able to lay out yoga mats (mats are 26 invhrd wide by 70 inches long,,
Coffee & Karst,8:00-9:00,Registration Hallway,,am,Coffee & Karst,?,?,
US Exploration,9:00-Noon,Auditorium,,ALL DAY,US Exploration- in main auditorium,,,
Cave Conservation & Science,9:00-Noon,205,,ALL DAY,Cave Conservation & Science,1,80,
Speleothem Repair    Workshop,9:00-Noon,254,,am,Speleothem Repair    Workshop,1,40,
Cavers Against Sexual Harassment.,9:00-Noon,154,,am,Cavers Against Sexual Harassment.,1,30,
Discover Vertical Caving,8:30-12:30,claassroom close to gym,,am,Discover Vertical Caving,1,25,they want to be close to gym
Photo Workshop,9:00-Noon,in-cave,,All Day,Photo Workshop,IN-CAVE,,
Interagency Meeting,9:00-Noon,102,,am,Interagency Meeting,1,20,
,,,,,,,,
,,,,,,,,
Luminary Speaker:  Cat & Charlie Bishop ,12:30-1:30,Audotirum,,OVER LUNCH,Luminary Speakers:  Catherine  & Charlie Bishop ,In auditorium,,
Cave Conservation & Science,Noon-1:00,205,,PM,Cave Conservation & Science (NO LUNCH),1,80,
Photo Workshop,9:00-Noon,in-cave,,ALL DAY,Photo Workshop,IN-CAVE,,
Book signing: Gary Roberson,11:30-1:00,Need chair and table in vendors area,,OVER LUNCH,Book signing: Gary Roberson,1,2,
Vertical climbing contests,12:30 start,Junior. High gym,,ALL DAY,Vertical climbing contests,6,8,
,,,,,,,,
,,,,,,,,
,,,,,,,,
US Exploration,2:00-5:00,Auditorium,,ALL DAY,US Exploration,All DA,,
Cave Conservation &  Science,2:00-5:01,205,,ALL DAY,Cave Conservation & Science,1,80,
Convention Planning,2:00-5:00,110,,pm,Convention planning,1,20,
Photo Workshop,9:00-Noon,in-cave,,ALL DAY,Photo Workshop,IN CAVE,,
Climbing contests,1:00-5::00,Junior High Gym,,ALL DAY,Climbing contests,6,8,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fellows- New Members Reception,6:30-8:30,Discovery Center,,EVENING,Fellows- New Members Reception,TABLES  & Chairs ???,,
Open Mic,8:00 start,Campground- WHERE,,EVENING,Open Mic,8:00 start,Campground,
Featured speaker,9:00pm,Auditorium,,EVENING,Featured speaker,IN AUDITORIUM,,Needs good wifi