Event,Time,Where
Coffee & Karst,8-9am,Registration Hallway
International Exploration,9:00-Noon,Auditorium
Biospeleology Session,9:00-Noon,205
Speleothem Repair Workshop Part II,9:00-Noon,in-cave
Cave Digging Section,9:00-Noon,254
Discover Vertical Caving,9:00-Noon,claassroom lecture & hands on in gym
Caving & Culture,9:00-Noon,102
NPS Cave Managers Meeting,9:00-Noon,112
,,
,,
,,
Luminary Speaker:   Jill Yager,12:30-1:30,Auditorium
Biospeleology,1:00-2:00,205
Vertical  Climbing Contests,Noon-1:00,Junior High Gym
,,
,,
,,
,,
,,
International Exploration,2:00-5:00,Auditorium
Congress of Grottos,2:00-5:00,102
Biospeleology Session,2:00-5:00,205
Speleophilatelic Section Meeting,1:00-2:00,110
derigging from Vertical contests (closed),1:00-5:00,Junior High Gym
,,
,,
,,
,,
,,
,,
NSS Auction,7:00 start,228
Campground Party ,9:00 start,Campground